,,作者,题名,文献来源,年,卷,期,页码,ISSN,关键词,机构,摘要
249,,高地;,高校辅导员队伍专业化建设的探索与实践,思想教育研究,2013,No.221,4,47-48,1002-5707,队伍专业化;东北师范大学;队伍结构;优秀辅导员;思想政治教育;培养路径;思想动态;辅导员专业;学生工作部;队伍培训;,东北师范大学党委学生工作部;,"近年来,东北师范大学着力破解辅导员队伍建设过程中的深层次结构性矛盾,打造了层次鲜明、动态递进的队伍建设体系,不断提高辅导员理论水平,明确发展路径,提升工作实效,有力推动了学校辅导员队伍的专业化发展。一、加强队伍工作研修,提高辅导员理论水平"
250,,邱有华;,论基于提升职业幸福感的辅导员队伍建设,思想理论教育,2013,No.403,11,93-95,1007-192X,高校辅导员;职业幸福感;队伍建设,长江师范学院政治与公共管理学院;,"职业幸福感关系着主体的生存状态和工作效率。当前,高校辅导员整体职业幸福感不强是辅导员队伍建设面临的一大问题。提升辅导员的职业幸福感,有利于提高辅导员的工作积极性,促进辅导员的专业成长和学生的成长成才,也有利于辅导员队伍的健康发展。围绕提升职业幸福感,推进辅导员队伍专业化和职业化建设,加强辅导员队伍的内涵建设,注重辅导员工作的外部支持体系建设,能有效促进高校辅导员队伍建设。"
251,,王德华;,目标管理在高校辅导员专业化发展中的应用,黑龙江高教研究,2013,v.31;No.230,6,110-112,1003-2614,目标管理;高校辅导员;专业化发展,中央财经大学应用数学学院;,"目标管理作为一种科学的管理方法,在现代企业中已被广泛采用,而在我国高校辅导员队伍建设的研究或实践中还没有运用这一管理方法的先例。将目标管理体系引入高校辅导员专业化发展的过程中去,能够通过辅导员在微观层面对于自身专业化发展目标的管理,充分调动辅导员的主观能动性与自主发展的心理诉求。文章以调查研究的手法指出了高校辅导员队伍的专业化素质中存在的结构性缺失问题,并有针对性地提出了应用目标管理以克服上述问题,提升辅导员专业化发展效率的方法论。"
252,,,“2O12全国高校辅导员年度人物”风采展示,思想理论教育导刊,2013,No.173,5,145-148,1009-2528,思政;中国大学生;中国教育报;风采展示;工作研究会;新华网;思想政治工作;网络支持;就业实习;博士研究生;,,"[编者按]由教育部思想政治工作司指导,全国高校辅导员工作研究会、中国教育报主办,新华网和中国大学生在线提供网络支持的""全国高校辅导员年度人物""评选活动,自2008年起至今已经成功举办五届,共评选出50位高校辅导员年度人物。""2012全国高校辅导员年度人物""评选活动由思政司组织专家进行通讯评审,从200名"
253,,郑烨;付蓉芬;,高校辅导员能力素质模型建构——以长沙大学城的实证调研为基础,西南交通大学学报(社会科学版),2013,v.14;No.74,2,63-68,1009-4474,高校辅导员;能力素质;工作技能;专业知识;政治素养;人格特质,西安交通大学管理学院;湖南大学法学院;,"运用行为事件访谈法和问卷调查法对长沙大学城三所重点大学的思想政治教育工作专家、一线辅导员、在校本科生和硕士研究生进行实证调研,对调研数据作探索性因子分析和验证性因子分析,结果表明:高校辅导员能力素质包括工作技能素质、专业知识素质、政治素养和人格特质素质4个方面;且政治素养和个人素质在高校辅导员能力素质结构中最为重要。"
254,,吴燕端;,辅导员队伍专业化专家化建设制约因素分析,黑龙江高教研究,2013,v.31;No.231,7,89-91,1003-2614,辅导员队伍;专业化;专家化,梧州学院电子信息工程系;,"辅导员队伍由专业化逐步走向专家化不是一项临时性的工程,而是一项循序渐进的系统性工程,是高等教育社会化、信息化的客观要求,是辅导员谋求发展的必由之路,也是实现大学生思想政治教育实效性的重要保障。可是,当前社会、学校和个人因素却严重地制约了高校辅导员队伍建设的专业化和专家化。故要提高辅导员队伍的专业化水平,培养专家型的辅导员,高校必须对制约辅导员队伍专业化专家化建设的因素进行分析研究,找出问题,以便对症下药,从而真正构建一支专业化和专家化的辅导员队伍。"
255,,粘怡佳;,试论我国高校辅导员法律素质的培养,思想教育研究,2013,No.222,5,89-91,1002-5707,高校辅导员;法律素质;专业化,北京大学法学院;,"法律素质的培养是高校辅导员队伍职业化专业化的要求。高校辅导员应当在大学生高校内部管理、外部行为管理、就业指导服务、思想政治教育、依法治班,法律思维等方面,了解和掌握与其职责相匹配的法律知识。同时,高校也应当为培养辅导员的法律素质创造有利的法治环境,建立完善的培训体系。"
256,,李振跃;,高校辅导员队伍专业化、职业化发展的根本路径,思想教育研究,2013,No.223,6,103-107,1002-5707,辅导员队伍;专业化;职业化,华侨大学学生处;,"高校辅导员队伍发展的根本诉求是实现专业化、职业化发展。辅导员队伍专业化、职业化发展需要以辅导员的问题意识与理论研究、相应的刚性政策与配套制度、辅导员工作的规范化与学科化、辅导员队伍的规模化与稳定性为支撑,同时需要通过赋予辅导员教师身份与待遇,科学设置辅导员岗位等措施,促进辅导员队伍的专业化、职业化发展。"
257,,王珩;,高校辅导员实践性知识的提升策略,思想教育研究,2013,No.223,6,108-111,1002-5707,高校辅导员;实践性知识;专业化,浙江师范大学团委;,"实践性知识是高校辅导员专业化的重要知识基础,也是其职业化的内在要求,它具有内隐性、个体性、综合性等特点。研究高校辅导员实践性知识的生成策略对帮助辅导员养成自主专业发展的意识和习惯、提高其专业化水平具有重要意义。高校辅导员应树立良好的教育信念、积累丰富的专业知识、开展深刻的实践反思、建立合作的学习平台,不断丰富和发展实践性知识,促进自身的专业化发展。"
258,,肖柯;石清云;,学习型班级视域下高校辅导员胜任力要素分析,国家教育行政学院学报,2013,No.186,6,37-41,1672-4038,学习型班级;胜任力;胜任力要素;高校辅导员,山东大学管理学院;,"新形势下构建高校学习型班级对辅导员职业胜任力提出了新的要求,从自我超越、改善心智模式、建立共同愿景、团队学习、系统思考五项修炼的角度对辅导员胜任力进行分析,可以形成涵盖基础、核心、关键3个层次的胜任力要素模型,并以此为基础通过规范选拔配备机制、创新管理协调机制、完善培训学习机制、优化激励考核机制,建立健全融选拔、培训、管理、考核于一体的辅导员胜任力提升体系,达到提升辅导员胜任力水平、构建学习型班级的目的。"
259,,张挺;,辅导员在少数民族大学生就业指导中的作用强化研究,黑龙江民族丛刊,2013,No.135,4,173-177,1004-4922,辅导员;少数民族大学生;就业指导;作用,辽宁医学院;,"为了研究辅导员在少数民族大学生就业指导中的作用强化问题,通过对辅导员从事该项工作在角色、工作方式等优势以及在思想、观念等方面需要认清的问题分析,提出辅导员从事该项工作的几点建议,以便在工作中更好地为指导少数民族大学生就业服务。"
260,,冯维波;,高校辅导员法律意识的培养,教育评论,2013,No.173,5,54-56,1004-1109,高校辅导员;法律意识,南京大学金陵学院党委;,"近年来,一系列因高校教育管理引起的学校和学生的纠纷,使得我们不得不再次关注高校教育管理者的法律意识。作为高校教育管理第一线的辅导员,其法律意识的高低对管理工作的良好开展和学生权益的保护无疑具有重要的意义。高校辅导员法律意识主要包括依法管理和服务的法律意识、遵守程序的法律意识,以及及时给予学生救济的法律意识。其培养途径包括辅导员的自我学习、学校等相关部门的专门培训等。"
261,,高志华;,高校年轻辅导员健康心理的培育与发展,江苏高教,2013,No.170,4,89-90,1003-8418,心理健康;年轻辅导员;培养;发展,南京邮电大学通信与信息工程学院;,"高校年轻辅导员(80后)的数量正在逐年增加,高校要正视他们的心理困惑,通过改进学生工作的制度和环境加大对年轻辅导员的扶持和培养力度,解决他们的工作心理问题和压力,最大限度挖掘其自身潜能,发挥他们对大学生的影响和辐射作用,确保高校思想政治教育工作的有效性。"
262,,李宏刚;,高校辅导员如何为心理障碍贫困生进行“心灵导航”,江苏高教,2013,No.170,4,129-130,1003-8418,高校辅导员;心理障碍;贫困生;心灵导航,西北工业大学人文与经法学院;江苏大学能源与动力工程学院;,"高校贫困生的心理健康问题日益严峻。高校辅导员要真正成为心理障碍贫困生的""心灵导师"",不仅需要爱心和奉献,而且需要心理辅导专业理论的支撑,全面掌握倾听、疏导的技能。同时,高校辅导员要善于运用爱心组织党员、干部等优势资源参与导航,并积极做好""学生、家庭、老师""之间的沟通协调和跟踪指导。"
263,,曲建武;,立德树人与辅导员队伍建设,思想教育研究,2013,No.224,7,14-16,1002-5707,立德树人;队伍专业化;思想政治教育;职业化建设;科学化水平;网络文化建设;优秀辅导员;校园文化建设;研修基地;辅导员职业化;,大连海事大学;辽宁省委高校工委;辽宁省教育厅;,"高校辅导员是落实立德树人根本任务的重要力量,辅导员队伍建设是提升大学生思想政治教育质量的重要环节。近年来,辽宁省委高校工委积极推进工作创新,采取了一系列举措,着力推进高校辅导员队伍专业化、职业化建设,努力提高大学生思想政治教育科学化水平,取得了一定的成效。"
264,,高军;李绍龙;,高校辅导员预控学生突发事件的长效工作机制研究,黑龙江高教研究,2013,v.31;No.233,9,56-58,1003-2614,和谐校园文化;高校辅导员;思想政治教育;突发事件;机制,鲁东大学法学院;,"当前,改革的深化和国际国内形势的复杂多变,导致影响高校校园内不稳定的因素增多,学生突发事件成为影响和谐校园文化建设的一大隐患。文章从高校辅导员思想政治教育工作的角度,探讨了和谐校园文化视域下高校辅导员预控学生突发事件的长效工作机制的问题。"
265,,虞蓉;,提升高校辅导员团队建设绩效的途径,思想理论教育,2013,No.407,15,92-94,1007-192X,高校辅导员;团队建设;绩效,上海工程技术大学 管理学院;,"辅导员作为大学生的良师益友,其工作的好坏直接影响到人才培养质量,而辅导员队伍生活压力大、流动性强、职业化要求高等特点,使得部分辅导员的职业倦怠感较为强烈。应通过构建学习型团队、设置合理的人事制度、健全绩效考核制度、完善绩效支持机制、建立网络信息平台等途径来增强辅导员团队建设的绩效,以激发辅导员的工作热情,提升工作效能。"
266,,李磊;刘利芳;,新时期高校辅导员角色定位再思考,中国青年政治学院学报,2013,v.32;No.168,5,106-109,1002-8919,高校辅导员;角色定位;思想政治教育,华中科技大学新闻与信息传播学院;,"随着社会的发展和教育的变革,高校辅导员的角色定位也在不断演变,辅导员队伍是高校培养人才的基本力量,更是大学生思想政治教育的骨干力量。新时期高校教育对辅导员身份定位、职责范围、从业要求都提出了新的要求,辅导员对大学生思想教育、人生规划、健康成长等各方面具有指导作用。辅导员应审时度势,明确自身的角色定位,认真分析、全面掌握大学生的思想特点,探索符合实际的教育规律,改革教学方法,切实提高思想政治教育的实效性,引导学生全面发展。"
267,,胡文斌;,职业承诺与高校辅导员的职业成长,教育评论,2013,No.174,6,57-59,1004-1109,辅导员;职业承诺;职业成长,浙江理工大学理学院党委;,"职业承诺是辅导员职业成长的内在动力,影响着开展思想政治教育的工作成效和学生成长成才的质量。当前,在高校辅导员职业成长中存在对职业兴趣不够浓厚、对职业发展空间不够满意、对职业规范认可度低等现象。本文通过解读辅导员职业承诺内涵,从寻找辅导员共同职业目标、确立共同职业理念和培养共同职业信条的角度,提出高校促进辅导员职业成长的三个关键机制:职业准入机制、保障激励机制和职业规范机制。"
268,,周慧莲;李晓波;,SWOT视角下的高校资深辅导员职业高原对策探析,江苏高教,2013,No.171,5,78-79,1003-8418,SWOT;资深辅导员;职业高原;职业发展,江苏大学基础医学与医学技术学院;江苏大学心理健康教育中心;,"资深辅导员(即高年资辅导员)是高校辅导员队伍的核心骨干力量。在长期的工作压力、晋升机会缺失等内外因素的影响下,资深辅导员已成为高校中职业高原的高发人群。文章借助SWOT分析法全面分析了资深辅导员的职业高原现象,探讨了突破这一困境可以采取的对策。"
269,,柏路;,高校辅导员科研能力形成的运行机理,思想理论教育,2013,No.411,19,84-87,1007-192X,高校辅导员;科研能力;运行机理,东北师范大学思想政治教育研究中心;,"高校辅导员是做好大学生日常思想政治教育的骨干力量,其科研能力直接关系着思想政治教育的实际效果。高校辅导员科研能力形成机理的运行是一个复杂的系统过程,应从横向、纵向和综合三个维度进行研究,把握高校辅导员科研能力形成的内在规律,合理构筑和不断优化辅导员科研能力的培养机制,从而进一步实现辅导员队伍的专业化和职业化。"
270,,王婷;史慧明;,高校辅导员职业角色的基本伦理定向,思想理论教育,2013,No.409,17,81-85,1007-192X,高校辅导员;职业角色;伦理定向,南京师范大学公共管理学院;,"高校辅导员职业角色的基本伦理定向是辅导员在职业活动中应当遵守的基本伦理准则。可以从两个层面去理解,一是辅导员职业角色的一般伦理定向,必须体现一般高校教师的职业活动特点,与高校教师教育伦理的原则一致;二是辅导员职业角色的特殊伦理定向,仅仅适用于辅导员这一特殊的高校教师角色,是辅导员职业活动中应该特别遵循的伦理准则。"
271,,毕昆鹏;,高校辅导员压力源及其管理策略,思想理论教育,2013,No.405,13,81-84,1007-192X,高校辅导员;压力源;压力管理,上海外国语大学学生处;,"调查发现,目前高校辅导员的压力偏高,不同类型辅导员的压力源又具有独特性。通过适度的压力水平使辅导员工作绩效达到最高状态,可采取的措施有:合理配置辅导员,减轻工作强度压力;提高辅导员决策参与度,综合协调管理体制;运用目标管理机制,推进工作项目化,减少辅导员角色定位的社会压力;关心辅导员的生存与发展,为其职业发展提供优化的政策导向;等等。"
272,,林嵘;,高校辅导员工作效能建设初探,思想理论教育,2013,No.405,13,92-95,1007-192X,高校辅导员;工作效能;队伍建设,东华大学外语学院;,"高校辅导员要主动适应工作要求,充分发挥应有的功能与作用,就需要加强工作效能建设,增强工作胜任力,提高工作效率,优化工作实效。树立效能优先的工作理念,推进辅导员素质强化工程,切实转变辅导员工作作风,进一步改进辅导员管理办法,是高校辅导员工作效能建设的基本路径。"
273,,,教育部高校辅导员培训和研修基地(辽宁大学)简介,思想教育研究,2013,No.227,10,116+2+113,1002-5707,研修基地;辅导员培训;辽宁大学;思想政治教育;马克思主义理论;特色学科;二级学科;省重点学科;,,"教育部高校辅导员培训和研修基地t辽宁大学)(以下简称‘’基地"")建立于2007年7月。基地依托辽宁大学马克思主义学院,现有马克思主义理论一级学科博士后流动站,马克思主义基本原理、思想政治教育2个二级学科博士点,思想政治教育是辽宁省重点学科、辽宁省核心竞争力特色学科。同时,建有辽宁"
274,,杜广杰;,化解矛盾 加强和改进辅导员队伍建设,中国高等教育,2013,No.509,19,41-43,1002-4417,队伍结构;思想政治教育;队伍职业化;专业知识背景;职业认同感;建设规定;教育方法;工作职责;辅导员职业化;辅导员职责;,南开大学马克思主义教育学院;,"随着高等教育事业的发展,高校辅导员队伍从事的学生教育和管理工作在高校思想政治教育中越来越发挥着无可替代的重要作用。我们需要认真分析和把握当代辅导员队伍建设中存在的深层次矛盾,克服辅导员队伍职业化道路上的瓶颈,促进辅导员队伍的健康稳定和发展壮大。一、正确理解辅导员队伍的""职业化""实际上,职业化就是一种工作状态的标准化、规范化、制度化,即在合适的时间,合适的地点,用合适的方式,说"
275,,杨晓慧;,深入推动高校辅导员队伍专业化建设的几个着力点,思想教育研究,2013,No.225,8,13-14,1002-5707,队伍专业化;博士培养;建设规定;思想政治教育;辅导员培训;普通高等学校;队伍结构;抢抓机遇;研修基地;理念定位;,东北师范大学党委;,"《中共中央国务院关于进一步加强和改进大学生思想政治教育的意见》(以下简称""中央16号文件"")和《普通高等学校辅导员队伍建设规定》(以下简称""教育部24号令"")颁布实施以来,高校辅导员队伍在理念定位、配备选聘和培训培养等方面均取得了很大进展。在新的历史条件下,进一步推进辅导员队伍专业化建设,需要抢抓机遇、开拓创新,从提供学科支撑、构建辅导员博士培养体系以"
276,,谢守成;,当前高校辅导员队伍职业化发展的几点思考,思想教育研究,2013,No.225,8,15-16,1002-5707,队伍职业化;职业化发展;队伍专业化;专职辅导员;专业化培养;学历结构;辅导员专业;学生事务管理;辅导员职业化;思想政治教育;,华中师范大学党委;,"专业化培养和职业化发展是建设一支高素质、高质量、高水平辅导员队伍的两个关键。专业化与职业化相互依托,相互促进,专业化是职业化的内在要求与现实目标,职业化是专业化的基础条件和外在保障。中央16号文件下发以来,我国高校辅导员队伍建设取得了很大成就,全国专职辅导员已经从2004年的4万多人增加到2012年的11万人,并且人员学历结构得到改善,表明高校辅导员队伍专业化水平明显提高。但是,高校辅"
277,,陈华;江鸿波;,基于“知识—能力—素质”三要素的辅导员职业准入标准研究,思想教育研究,2013,No.225,8,57-59,1002-5707,知识;能力;素质;辅导员;职业准入,同济大学学生处;,"对辅导员职业准入标准的研究有助于更好地推动辅导员的职业化发展。根据辅导员工作的制度要求和教育对象成长需求确定辅导员职业准入的""知识—能力—素质""三要素,并分析基于""知识—能力—素质""三要素的辅导员职业准入内容,可以根据""知识—能力—素质""三要素的特点对辅导员准入总结出科学的标准体系和考察、考核制度。"
278,,赵睿;,高校辅导员职业化发展探析,思想理论教育,2013,No.415,23,79-83,1007-192X,高校;辅导员职业化;发展瓶颈;辅导员职业,上海海事大学交通运输学院;,"目前我国高校辅导员职业化发展正稳步向前,但发展中仍遇到很多瓶颈问题,如辅导员工作内容过于庞杂、承担的角色过多、管理体制不顺、队伍建设缺乏整体设计等。借鉴西方高校学生事务管理的经验,促进我国高校辅导员职业化发展到""辅导员职业"",应调整结构,从体制上打通辅导员专业化发展的瓶颈;提升内涵,从机制上保障辅导员专业化发展的持续性;达成共识,从外部环境上获得更多的支持和认同。"
279,,林琳;,高校辅导员工作学生满意度测评体系研究,思想教育研究,2013,No.227,10,84-87,1002-5707,辅导员工作;学生满意度;测评体系,集美大学诚毅学院管理系;,"""辅导员工作学生满意度""是学生对辅导员提供的各项教育、指导和服务的质量与效果的满意程度。从学生需求出发,构建了辅导员工作满意度测评指标体系,测评结果能让辅导员认识到自身工作的优缺点。高校辅导员通过加强对测评工作重要性的认识,提高为学生服务的意识;加强学生需求调研,开展个性化、差异化的教育、指导和服务;及时反馈服务结果,化解和减低学生抱怨;加强学习和培训,不断提高为学生服务的能力,能有效提高学生满意度。"
280,,姚凯;韩英;,高校辅导员胜任力模型分析及其应用,复旦教育论坛,2013,v.11;No.63,3,70-75,1672-0059,胜任力;高校辅导员;测评,复旦大学管理学院;,"高校辅导员是高校教师队伍的重要组成部分。由于工作责任不明以及竞争机制的缺乏,缺乏系统的选拔、考核、激励和保障高校辅导员的机制。本研究采用文献综述法、行为事件访谈法、问卷法等方法,将定性研究与量化研究相结合,对高校辅导员胜任力模型进行实证研究。研究构建了高校辅导员胜任力模型,完成了模型的验证,探讨了高校辅导员选拔、考核等方面的有效工具。"
281,,汤洁;,民族高校思政教育网络化进程中辅导员的工作,黑龙江民族丛刊,2013,No.137,6,184-186,1004-4922,网络化;民族高校;辅导员;思想政治教育,中央民族大学;,"网络化较多地影响大学生的思想和行为。网络化进程给民族高校辅导员思想政治教育工作提出了更高的要求。本文论述了民族高校思想政治教育工作网络化发展的现状,探讨了民族高校辅导员工作面临的思想政治教育网络化的重大机遇和严峻挑战,提出了民族高校辅导员开展网络化思想政治教育工作的一些对策建议。"
282,,赵雅卫;,对高职学校辅导员职业素养的思考,教育理论与实践,2013,v.33;No.491,36,38-39,1004-633X,高职学校;辅导员;职业素养,贵阳幼儿师范高等专科学校;,"高职学校辅导员应具有良好的职业素养。高职学校辅导员应是学生的人生导师和朋友,具有较高的政治素质、扎实的业务能力、一定的专业技能、较好的心理素质、较强的亲和力和良好的身体素质。"
283,,王立岩;张薇;张海茹;,基于工作家庭冲突的高校辅导员职业倦怠研究,湖北社会科学,2013,No.324,12,185-187,1003-8477,工作家庭冲突;个人偏好;工作控制;职业倦怠,燕山大学经济管理学院;,"辅导员是大学生思想政治教育和日常管理工作的实施者,是高校教师队伍中一支重要的力量。研究表明:工作——家庭冲突会正向促进高校辅导员职业倦怠,辅导员的个人偏好和工作控制对职业倦怠具有显著的正向相关关系,工作——家庭冲突会通过个人偏好和工作控制对高校辅导员职业倦怠产生正向的影响;家庭——工作冲突会通过个人偏好对职业倦怠产生负向的影响;而家庭——工作冲突及其通过工作控制对高校辅导员职业倦怠的促进作用不显著。"
284,,于海;,以系统科学视角探索高校辅导员专业化培养,思想教育研究,2013,No.228,11,90-92,1002-5707,辅导员;专业化培养;系统科学,中共北京市委教育工作委员会宣教处;,"高校辅导员队伍建设是当前大学生思想政治教育工作中的重点,采用系统科学的视角对辅导员专业化培养工作进行研究,提出培养系统由保障、培训和质量3个子系统构建的结构模型,并结合实际工作提出子系统实现的具体方法,可以为高校开展辅导员专业化培养提供有价值的工作思路。"
285,,朱冬香;蔡瑞龙;韩伟莎;,辅导员运用新媒体开展学生工作面临的形势与应对策略,思想教育研究,2013,No.228,11,93-96,1002-5707,新媒体;辅导员;社交网络;舆情,北京化工大学学生工作部;,"在新媒体形势下,高校辅导员开展学生工作会遇到各种各样的挑战与机遇。辅导员在工作方式上要提升自己运用新媒体能力、社交网络生存能力和话语自信,适应新形势的要求。同时学校层面也应当积极配合辅导员的工作,创造机会,提供平台,提升辅导员工作能力。"
286,,罗慧;周志成;张文杰;,从马克思人的全面发展理论看辅导员队伍建设——北京联合大学辅导员队伍建设的探索与实践,思想教育研究,2013,No.228,11,97-99,1002-5707,全面发展;辅导员;队伍建设,北京联合大学管理学院;北京联合大学党委;北京联合大学学生工作部;,"马克思人的全面发展理论是其人学思想的重要组成部分。高校的目标是培养全面发展的大学生,北京联合大学在保障高校育人目标实现的同时,用马克思人的全面发展理论指导教师队伍的全面发展,尤其在辅导员队伍建设中,通过搭建理论研究、学科建设、工作总结、个体发展及职业拓展等五大发展平台,实现了地方高校连续三届荣获""北京高校十佳辅导员""等优秀成绩。"
287,,李慧鹏;靳小三;,高校辅导员工作创新的路径探微,求实,2013,,S2,239-240,1007-8487,理论联系实际;学生思想教育;人才重要;教育目标;渗透教育;自我教育;灌输教育;辅导工作;学生辅导员;教育大学;,石家庄铁道大学四方学院;,"高校辅导员是加强高校日常大学生管理的一支主导力量,是保证学校坚持正确的办学方向,实现教育目标、推进素质教育、培养德才兼备的人才重要保证。当前大学生思想教育和管理变得日益复杂,高校辅导员在了解和把握大学生思想、价值观的发展变化上,在指引和辅导大学生解决思想认识,培养大学生成才等方面作用显得越来越大。创新性地做好高校辅导员工作日益变得重要。创新性地做好高校辅导员工作,就要从大学生工作的实际出发,理论联系实际,使思"
288,,汪双喜;,关于学生工作质量的思考——基于辅导员学生工作质量观的调查,思想战线,2013,v.39,S2,315-317,1001-778X,学生工作;学生工作质量;高校思想政治教育,江南大学;,"借助于基于教学质量工程经验来提升学生工作质量的研究思路,在辅导员群体中间开展一场关于辅导员学生工作质量观的调查,发现辅导员群体存在学生工作质量观内涵不清晰、不一致,质量管理意识不强等不足,影响辅导员群体对本科教学工程的理解,也会进一步影响对学校学生工作质量的参与程度。文中指出,在学生工作开展中,高校需要进一步理解学生工作质量内涵及其特征,树立质量管理观点,加强质量文化建设,扩大学生工作质量建设参与面,寻找学生工作质量保障性与提升性对策。"
289,,沈东华;薛艳;,中美高校辅导员学生事务管理比较研究,教育理论与实践,2014,v.34;No.494,3,25-27,1004-633X,中美高校辅导员;学生事务管理;学生事务管理角色定位;专业化发展水平,淮阴师范学院文通学院;南京师范大学心理学院;,"高校学生事务管理的发轫、发展和成熟与高等教育的发展相伴相生。美国是当今高等教育较发达的国家,其高校学生事务管理已逐步走向规范化、制度化、专业化,取得了相当可观的成就。通过比较中美高校学生事务管理在工作理念、专业化发展水平以及辅导员制度走向等方面的差异,可以看出,我国高校辅导员队伍建设要进一步落实""以生为本""、""以服务促发展""的理念,加强辅导员队伍专业化建设,强化辅导员岗位角色定位,推动我国高校学生事务管理的规范化。"
290,,李冬梅;,教育戏剧在辅导员培训中的探索创新——以上海戏剧学院教育戏剧思想政治教育工作坊为例,思想理论教育,2014,No.418,2,104-107,1007-192X,教育戏剧;辅导员培训;角色;剧情;体验,上海戏剧学院研工部;,"当前的辅导员培训存在着实践性项目供给不足,培训的针对性、有效性不够的情形,阻碍了辅导员队伍职业素养的提升。借鉴教育戏剧的理论、方法,通过教育戏剧在辅导员培训中的应用,能够有效解决辅导员培训从""知识理论""到""实践能力""过渡的问题。提升辅导员职业素养的有效措施是专业化培训,为了更好地让辅导员达到知行合一、角色深度认同,教育戏剧在辅导员培训中的应用实践大有可为。"
291,,王敏;刘经纬;李玉荣;,高校辅导员队伍专业化建设路径解析,黑龙江高教研究,2014,No.238,2,85-87,1003-2614,高等教育生态;教育生态;辅导员专业化;生态平衡,东北林业大学;,"运用高等教育生态文明观研究和探索辅导员专业化的生态发展,为辅导员队伍建设提供了新的思路。文章阐述了高等教育生态文明观的含义和内容,从当前高校辅导员专业化建设的新形势入手,分析了辅导员队伍专业化建设的理论基础和现实依据,并初步探讨了辅导员队伍专业化建设的实现路径和对策,以此来论证高等教育生态文明理念对实现高校辅导员队伍专业化建设的现实意义。"
292,,高地;,全国高校辅导员信息化管理服务平台建设研究,高校教育管理,2014,v.8;No.44,2,85-91,1673-8381,高校;辅导员;信息化平台,东北师范大学思想政治教育研究中心;,"高校辅导员是完成大学生在校期间思想政治教育工作的主力军,搭建一个全国范围内的高校辅导员信息化管理服务平台,对于全面、精准地把握全国高校辅导员队伍的整体建设情况,推进高校辅导员队伍职业化发展有着迫切而重要的意义。从建设全国高校辅导员信息化管理服务平台的必要性和紧迫性入手,针对辅导员队伍的特点,概括了整个平台先进性、兼容性、安全性、易用性的设计理念,并探索性地提出平台的基本结构与功能。"
293,,刘胜男;,双重身份下辅导员作为跨界人的行为分析,高校教育管理,2014,v.8;No.44,2,92-97,1673-8381,高校辅导员;双重角色;跨界人行为,华东师范大学教育管理学系;,"跨界人指的是处于组织边界、维持组织内外联系的""中介者""。结合大学辅导员的双重角色定位,跨界行为是辅导员工作的核心,其有效性直接影响学生成长和学校组织的效率。基于跨界人的理论研究,对辅导员承担的跨界人行为——管理组织形象、处理环境信息、管理环境关系进行分析,指出跨界人所处的特殊位置带给辅导员的角色冲突、角色模糊和角色超载等压力,并从正确看待组织界限、注重组织支持和提升个人工作技巧三个方面提出了若干缓解角色压力的建议。"
294,,李品玉;钟定胜;,高校辅导员分年级绩效评价指标体系与评价方法研究,高校教育管理,2014,v.8;No.44,2,98-103+116,1673-8381,高校辅导员;绩效评价;层次分析法;群决策,江苏大学马克思主义学院;江苏大学环境学院;,"在深入剖析高校学生工作特点的基础上,探讨现有辅导员绩效评价在指标体系建设和评价方法等方面的不足,构建包括职业素养、思想政治教育、学生事务管理、年级专项工作四个方面的分年级绩效评价指标体系,提出群决策的层次分析评价方法对该指标体系进行定量化的评价和分析,并以辅导员甲为例进行了实际应用,结果表明该评价体系和评价方法可以科学合理地进行高校辅导员绩效评价。"
295,,申艳婷;,高校辅导员在大学生突发事件后的危机应激管理,黑龙江高教研究,2014,No.237,1,62-64,1003-2614,高校辅导员;突发事件;角色;困惑;应激管理,四川外国语大学社会科学部;,"突发事件导致的大学生突然死亡事件,近年来在高校时有发生。危机后的应激管理成为处理突发事件的重要步骤。高校辅导员由于工作的特殊性,在突发事件危机应激管理中承担着重要的职能。在充分肯定辅导员在突发事件危机应激管理中角色的基础上,从高校辅导员参与应激管理所面临的困惑出发,剖析辅导员在应激管理中的具体应对策略与方法。"
296,,尚雪梅;,基于职业生涯规划理论的高校辅导员职业化路径研究,黑龙江高教研究,2014,No.237,1,68-70,1003-2614,职业化;辅导员;职业生涯规划,燕山大学里仁学院;燕山大学经济管理学院;,"职业化是高校辅导员队伍未来发展的必由之路,文章引入职业生涯规划的相关理论,对高校辅导员的职业化内涵进行深入探讨,提出完善职业的准入机制、创新职业的发展机制和优化职业的退出机制,并从辅导员、高校和政府的不同层面提出推进建议。"
297,,费萍;,试论高校辅导员选拔机制的完善,黑龙江高教研究,2014,No.239,3,128-130,1003-2614,高校辅导员;选拔机制;大学生思想政治教育工作,西南大学马克思主义学院;重庆理工大学计算机科学与工程学院;,"制度管根本,制度管长远。制度建设是高校辅导员队伍建设带有根本性、稳定性的环节。其中,完善选拔机制是高校辅导员队伍制度建设的重要内容,直接关涉着高校辅导员队伍建设的成效和大学生思想政治教育的科学化水平。文章立足于完善高校辅导员选拔机制的重要性,针对当前高校辅导员选拔存在的问题,从确立选拔标准、坚持选拔原则、完善选拔程序、改进选拔方式等方面对完善高校辅导员选拔机制进行阐述。"
