作者,题名,文献来源,年,期,页码,关键词,机构
胡瑞;,“第三条道路”思潮与当代英国教育改革,现代大学教育,2012,1,36-40,第三条道路;吉登斯;英国;教育改革,浙江大学教育学院;华中农业大学高教所;
何平立;沈瑞英;,资源、体制与行动:当前中国环境保护社会运动析论,上海大学学报(社会科学版),2012,1,119-130,环境保护;社会运动;资源动员;行动能力;体制,上海政法学院社会科学研究院;上海大学社会学院;
秦宣;,分化与整合——谈当代中国人的文化认同,教学与研究,2012,2,5月11日,社会裂变;阶层分化、思想混乱;整合;文化认同,中国人民大学马克思主义学院;
王志红;朱士群;,对中国当代虚无主义思潮的哲学思考,河北学刊,2012,2,25-30,现代性;西方虚无主义哲学;中国虚无主义思潮,合肥工业大学现代科技发展与马克思主义理论研究中心;安徽大学社会学系;
韩琛;,台湾新电影三十年:乡土与本土的纠结,台湾研究集刊,2012,1,79-86,台湾新电影;乡土意识;本土意识;中华民族主义;台湾民族主义,青岛大学文学院;
苑申成;,引领:先进文化建设的路径选择,社会主义研究,2012,1,47-51,先进文化;社会思潮;中国特色社会主义,华东师范大学社科部;周口师范学院;
郝虹;,三重视角下的王肃反郑:学术史、思想史和知识史,史学月刊,2012,4,14-24,王肃;郑玄;《论衡》;谶纬;魏晋经学;汉魏思想史,大连大学人文学部历史学院;
铃木章能;桑村特里沙;,后现代的厌倦,当代文坛,2012,2,71-75,村上春树;“无聊”题材作品;社会土壤;超越国境的交流,甲南女子大学文学系;大阪产业大学教养部;
徐静波;,明治时期日本的对华认识和政策的一个倾向——以亚洲主义者荒尾精的言行为中心,复旦学报(社会科学版),2012,1,126-133,荒尾精;亚洲主义;近代中日关系,复旦大学日本研究中心;
张桂珍;杨德霞;,马克思恩格斯关于意识形态领导权实现机制的思想及当代启示,新视野,2012,1,98-101,马克思;恩格斯;意识形态领导权;实现机制,中共江苏省委党校廉政教育研究中心;中国社会科学院哲学研究所;
李明辉;,以社会主义核心价值体系引领大学生辨清错误社会思潮,广西社会科学,2012,1,16-19,社会主义核心价值体系;大学生;错误社会思潮;辨清,广西民族师范学院;
刘向军;,我们党推进当代中国马克思主义大众化的基本经验论析,思想理论教育导刊,2012,2,26-29,中国共产党;当代中国马克思主义;大众化;基本经验,辽宁师范大学政治与行政学院;
朱思丞;蒋薇薇;,试析马克思主义大众化的现实困境及对策,东南学术,2012,2,4月10日,马克思主义;大众化;现实困境;对策,中国人民解放军南京陆军指挥学院;江苏科技大学学生处;
陈永霞;,20世纪初年西藏历史研究中学人的民族国家意识探析,中国边疆史地研究,2012,1,118-125+150,西藏;历史研究;藩属体制;民族国家,西南大学历史文化学院;
王猛;赵兴勤;,明代艳情小说序跋探微,明清小说研究,2012,1,4月15日,明代;艳情小说;序跋;《金瓶梅》,遵义师范学院中文系;徐州师范大学文学院;
王宝霞;,论马克思哲学对西方马克思主义的影响,山西财经大学学报,2012,S1,267-268+304,马克思;辩证法;历史唯物主义,郑州航空工业管理学院思政部;
刘淑青;,论欧洲猎巫史学的演变,甘肃社会科学,2012,2,174-177,欧洲;近代;猎巫;史学,德州学院;
陈莉;,近30年我国后现代主义论文分析与探讨,湖北社会科学,2012,4,109-112,后现代主义;论文数据;年度分布;频次;主题,空军雷达学院政教室;
李姿姿;,法国社会党执政经验教训及启示,当代世界与社会主义,2012,2,24-28,法国;社会党;执政经验,中央局马克思主义研究部;
董海涛;,多元社会思潮与新闻媒体的目标追求,湖北社会科学,2012,4,189-192,社会思潮多元化;新闻媒体;引领;目标追求,武汉大学;深圳报业集团;
李栗燕;张雷仝;,当代西方社会思潮对我国高校师生的影响探析,学术探索,2012,2,24-26,社会思潮;西方;高校;影响,南京航空航天大学人文与社会科学学院;
刘勇波;徐传武;,当代社会思潮的特殊性及其对大学生心理的影响,山西财经大学学报,2012,S2,166-167,社会思潮;大学生心理;心理影响,山东大学文史哲研究院;
本刊记者;,科学引领社会思潮 做好高校思想政治教育工作——访清华大学林泰教授,思想教育研究,2012,3,6月9日,思想政治教育;马克思主义理论;社会影响;思政课教师;人生价值观;核心价值理念;意识形态领域;政治理论课改革;思政课教学;变革时代;,
但瑞华;,“政论时代”的传媒与晚清社会思潮,学习与实践,2012,4,110-119,媒介传播;舆论建构;社会影响;历史变迁,武汉市社会科学院历史文化研究所;
杜玉华;,论马克思社会结构理论对西方结构主义思想的影响,江海学刊,2012,3,104-112,马克思社会结构理论;结构主义理论;结构化理论,华东师范大学社科部;
李逸津;,跨越时空的心灵沟通——B·M·阿列克谢耶夫“聊斋学”成功奥秘探论,山东社会科学,2012,4,39-43,阿列克谢耶夫;“聊斋学”;成功奥秘,天津师范大学文学院;
满新颖;,今非古时月 何以照今人——莫凡的歌剧《赵氏孤儿》观后,人民音乐,2012,5,14-17,中国歌剧;当代生活;《赵氏孤儿》;成败经验;文化使命;现代性;上乘之作;能将;给力;难于上青天;,中央音乐学院音乐研究所;南京艺术学院;
潘锦全;王芳;,国外学者关于毛泽东理论来源研究述评,江海学刊,2012,3,222-227,毛泽东思想;马克思主义;传统文化;西方思潮,南京大学哲学系;江苏科技大学学生工作处;江苏科技大学张家港校区基础部;
杨威;,以马克思主义理性分析并科学引领社会思潮,思想教育研究,2012,4,43-45,社会思潮;学理分析;马克思主义;指导地位,第二军医大学人文社科部;
陈赵阳;,增强社会主义核心价值体系引领力探析,西北农林科技大学学报(社会科学版),2012,3,88-93,社会主义核心价值体系;社会思潮;引领力,福建师范大学福清分校;
赵金广;彭东立;,马克思主义意识形态引领多样化社会思潮方法途径的多维思考,河北师范大学学报(哲学社会科学版),2012,3,153-157,意识形态;引领;社会思潮,河北师范大学法政学院;衡水学院政法系;
俞树彪;,道德建设与制度认同,湖北社会科学,2012,5,181-183,制度文明;制度伦理;道德建设,浙江海洋学院社科部;
张加明;,用社会主义核心价值体系引领多元文化思潮研究,湖北社会科学,2012,5,184-185+189,社会主义核心价值体系;多元文化思潮;研究,武汉工业学院思政部;
丁祥艳;,社会思潮的性质及其评判标准,广西社会科学,2012,4,124-127,社会思潮;性质;评判标准,玉林师范学院思想政治理论教学部;
侯慧君;邢国忠;,改革开放以来高校引领社会思潮的基本经验,思想教育研究,2012,4,39-42,高校;引领;社会思潮;基本经验,中央财经大学党委;中央财经大学马克思主义学院;
宋友文;,当代西方“意识形态终结论”思潮对大学生的影响及其批判,思想教育研究,2012,4,46-49,意识形态终结论;大学生;社会主义核心价值体系;软实力,中国人民大学马克思主义学院;
江先锋;,大学生受历史虚无主义思潮影响的原因探析,思想教育研究,2012,4,50-53,大学生;历史虚无主义思潮;思想影响,上海工程技术大学材料工程学院;
庄忠正;,本体论:哲学对崇高的承诺与寻求——新时期哲学使命的理论自觉,天津行政学院学报,2012,3,17-21,本体论;崇高;两极模式;中介模式,吉林大学;
蔡志刚;吴华章;,以社会主义核心价值体系引领社会思潮的传播学思考,探索,2012,3,124-128,价值体系;社会主义;传播学,中国医科大学人文社科学院;
倪明胜;,网络媒介传播与高校马克思主义大众化,中共天津市委党校学报,2012,3,22-26,网络媒介;网络传播;高校马克思主义;大众化,中共天津市委党校研究生部;南开大学马克思主义教育学院;
刘波亚;郭燕来;,内涵·特点·路径:网络思潮的本质探析,理论与改革,2012,3,111-114,网络思潮;网络评价;内涵要素;形成路径,上海大学;贵州大学;
李海;贾绘泽;,论多元化境遇中的主流意识形态整合,探索,2012,3,15-18,多元化;主流意识形态;思想整合,石家庄经济学院社科部;山西师范大学政法学院;
陈第华;,新媒体境遇中高校主流意识形态高势位建设研究,内蒙古社会科学(汉文版),2012,3,142-145,高校;新媒体;主流意识形态;高势位,福建师范大学马克思主义学院;福建中医药大学思想政治理论课教学科研部;
侯桂秀;,小议传统教育思想的当代价值,小说评论,2012,S1,288-289,传统教育思想;中国教育;西方文化;西方思潮;中国思想家;中国传统教育;失衡状态;人类中心主义;施韦兹;自然中心主义;,兰州职业技术学院;
何圣伦;,西方美育思想的中国化——读郭勇《蔡元培美育思想研究》,文艺评论,2012,7,22-25,美育思想;以美育代宗教;美育价值;中国现代性;鲍姆嘉通;现代学术;席勒;思想启蒙;学术概念;教育思想;,西南大学文学院;
施仲贞;,自我的觉醒:论《离骚》的“灵均”形象,海南大学学报(人文社会科学版),2012,3,22-29,离骚;自我;灵均;失意者;反抗者,南通大学楚辞研究中心;
王铁铮;,从犹太复国主义到后犹太复国主义,世界历史,2012,2,4-14+156,犹太复国主义;后犹太复国主义;思潮;演变,西北大学中东研究所;
艾智科;,中国抗战历史文化研究述评,重庆社会科学,2012,6,106-113,中国抗战历史文化;战时首都;抗战历史文化述评,重庆中国三峡博物馆;
刘宗洪;,执政党纯洁性建设的挑战与对策,中共福建省委党校学报,2012,6,4月9日,党的纯洁;现实挑战;要求与对策,中共上海市委党校;
孙继红;,马克思主义是社会主义核心价值体系的灵魂,科学社会主义,2012,3,81-83,社会主义核心价值体系;马克思主义,中共福州市委党校;
范秋迎;李国良;高姗姗;,中国共产党管理非主流意识形态的历史实践及当代选择,湖北社会科学,2012,6,5月8日,非主流意识形态;管理;历史实践;路径选择,中央司法警官学院;
雷卫平;,社会稳定的文化方略,学术交流,2012,6,135-138,社会稳定;文化方略;社会主义核心价值体系;社会思潮,武汉理工大学;
鲁品越;,劳动神圣:社会主义核心价值的基础——兼论大学生浮躁之风的产生根源,思想理论教育导刊,2012,6,85-88,劳动神圣;资本神圣;价值观;马克思主义,上海财经大学现代经济马学研究中心;
李海;,马克思主义意识形态教育面临的挑战及对策,教育评论,2012,3,75-77,多元化;高校;马克思主义意识形态;教育,石家庄经济学院社会科学部;
赵瑜;,中央电视台大型纪录片视阈下的国家形象建构,当代电影,2012,8,58-63,中央电视台;纪录片;国家形象,浙江大学传媒与国际文化学院;
杨杨;,道德力的三维度,求索,2012,7,218-220,道德;道德力;道德力建设,长安大学汽车学院;
孟雅超;李彦宏;,社会思潮对我国意识形态安全的影响,东南大学学报(哲学社会科学版),2012,S1,37-39,社会思潮;意识形态;社会主义核心价值体系,桂林电子科技大学公共事务学院;
蓝晓霞;赵冬玲;,主要发达国家高等教育促进文化建设的启示,中国高等教育,2012,9,61-63,文化生活;价值取向;人文精神;历史进程;教育国际化;科学素质教育;当代文化研究;人文素质教育;校园文化建设;引导作用;,北京交通大学;北京师范大学比较教育研究中心;
杨建义;,大学生文化认同机制探究,思想理论教育,2012,13,45-50,大学生;文化认同;选择性;文化模式,福建师范大学学生工作部;
方志远;,明朝百年的社会进步与社会问题,吉林大学社会科学学报,2012,5,5-9+159,明朝;社会进步;社会问题,"中国明史学会;江西师范大学""传统社会与江西现代化研究中心"";江西师范大学历史系;"
程丽红;,社会思潮与媒介嬗变——清末社会改革运动中的大众传播媒介,吉林大学社会科学学报,2012,5,30-36,清末;社会思潮;大众传播媒介;新闻传播史,吉林大学文学院新闻学系;
丁祥艳;,论社会思潮的多样化是社会转型的必然,求实,2012,8,75-78,社会思潮;多样化;社会转型,玉林师范学院社科部;
杨金华;,多元社会思潮与意识形态危机——苏联政治悲剧的历史反思,南京政治学院学报,2012,4,33-38,苏联解体;非马克思主义;社会思潮;政治合法性;意识形态,华中科技大学马克思主义学院;
逢锦聚;,马克思主义理论发展要把握好新的机遇;提升学科建设的质量和水平,思想理论教育,2012,15,4月5日,马克思主义理论;理论学科;国家文化安全;思想理论教育;实现理论;财经大学;时代化;人才培养;社会服务;教学科研能力;,南开大学;
本刊记者;,明辨各种社会思潮 综合创新马克思主义——访中国社会科学院学部委员、马克思主义研究院院长程恩富教授,思想教育研究,2012,8,3月7日,综合创新;资本主义危机;程恩富教授;新自由主义;自由主义思潮;中国社会科学院;金融危机;劳动主体;经济学大辞典;名家访谈;,
本刊政治编辑部课题组;常光民;颜晓峰;杨绍华;,“走转改”:寻求理论宣传工作的源头活水,求是,2012,17,46-47,理论宣传工作;宣传群众;基层实际;宣传工作者;多样化社会;理论战线;理论需求;社会主流;提高质量;增强理论;,
张严冰;应琛;,昆廷·斯金纳的自由主义,学术论坛,2012,7,49-54,斯金纳;自由主义;置身其境主义;历史主义;语境主义,清华大学公共管理学院;
刘圣兰;,用社会主义核心价值体系引领农村社会思潮,求实,2012,8,90-93,社会主义核心价值体系;农村社会思潮;农村乡土文化,华东师范大学社科部;江西农业大学政治学院;
陆剑杰;,试论我国意识形态领域的态势与加强马克思主义理论建设的策略,南京政治学院学报,2012,4,19-26,意识形态领域;马克思主义理论;主流;实事求是,中共南京市委党校;
孙继红;,社会主义核心价值体系视阈下的马克思主义研究,福州大学学报(哲学社会科学版),2012,4,58-62,社会主义核心价值体系;马克思主义;中国特色社会主义,中共福州市委党校;
申亚杰;,共产党员要坚定马克思主义信仰,红旗文稿,2012,16,29-32,马克思主义信仰;党的建设;信仰问题;宗旨意识;社会整体利益;阶级利益;人类解放;个人欲望;党员干部;规律性认识;,中国社会科学院;
,文摘,红旗文稿,2012,16,40-41,核心利益;理论体系研究;意识形态本质;社会基本制度;价值与资本;价值规范;《社会科学报》;社会核心价值;值群;中国软实力;,
王冀生;,从“高深学问”到“大学文化”,大学教育科学,2012,4,3月9日,大学精神;高深学问;大学文化,大学文化研究和发展中心;
颜翔林;,理论的品格,学术月刊,2012,6,97-103,理论;品格;超然性;可爱;差异游戏,温州大学人文学院;
冯鸽;,中国现代幻想小说际遇之探究,中国现代文学研究丛刊,2012,10,136-145,幻想小说;现实;叙事,西北大学国际文化交流学院;
杨静;,全球化与社会主义文化强国建设,西南民族大学学报(人文社会科学版),2012,S2,305-307,全球化;文化霸权;建设文化强国,攀枝花学院思政部;
王强;罗大明;李单晶;,从长征路线申遗看木门军事会议的战略地位与作用,毛泽东思想研究,2012,5,20-22,长征路线申遗;红四方面军;木门军事会议,中共旺苍县委办公室;电子科技大学马克思主义教育学院;
陈国华;,当代社会思潮对大学生的影响研究述评,毛泽东思想研究,2012,5,148-153,大学生;社会思潮;思潮传播,电子科技大学马克思教育学院;
高军;赵宇明;,当代中国非主流社会思潮的消极影响及其应对,理论探讨,2012,5,32-35,非主流社会思潮;消极影响;应对,哈尔滨理工大学;
胡宝平;,社会主义核心价值体系引领社会思潮的可能性研究,学术论坛,2012,8,12月16日,社会主义核心价值体系;引领;社会思潮;可能性,中共南京市委党校科文教研部;
,欢迎订阅2012年度红旗文稿,红旗文稿,2012,20,6,红旗文稿;理论战线;中共中央机关;求是杂志社;理论热点;政治理论;宣传事业;《求是》杂志;国外代号;国内统一刊号;,
崔丽华;,20世纪初各种社会思潮对马克思主义中国化影响研究评述,理论视野,2012,8,17-20,20世纪初;社会思潮;马克思主义中国化,中央党校马克思主义理论教研部;
陈答才;焦金波;,中国共产党马克思主义大众化90年的历史启示与当代价值,陕西师范大学学报(哲学社会科学版),2012,5,42-48,马克思主义大众化;中国共产党;中国特色社会主义,陕西师范大学政治经济学院;
林晓峰;朱志明;刘磊;,大学生践行社会主义核心价值体系的社会影响因素探究,思想理论教育导刊,2012,9,88-91,大学生;社会主义核心价值体系;社会影响,漳州师范学院党委;漳州师范学院教育系;
蒋红;陈娜;,以生态马克思主义为视角对社会发展模式的反思,学习与探索,2012,10,26-29,生态危机;社会发展模式;生态马克思主义,云南大学马克思主义研究院;
李萍;,“社会思潮与中国道路”专题,现代哲学,2012,5,44,中国道路;改革共识;理论空间;道路探索;中国改革;国家决策;“新左派”;阶段性成果;,中山大学;
邵小文;罗嗣亮;,“新左派”知识分子关于民生问题的思考及其启示,现代哲学,2012,5,51-59,新左派;民生;知识分子;社会思潮,广州大学马克思主义学院(政治与公民教育学院);中山大学社会科学教育学院;
刘云燕;,聚焦京剧“样板戏”中于会泳的音乐创作,乐府新声(沈阳音乐学院学报),2012,3,96-108,创作理念;美学思想;价值取向;专曲专用;主题音调,沈阳音乐学院;
许徐琪;,中国特色社会主义文化建设刍论,学术交流,2012,S1,10月12日,社会主义核心价值体系;中国特色社会主义文化;意识形态,中国青年政治学院中国马克思主义学院;
张文涛;,20世纪20—40年代中国共产党人对中国法西斯主义的批判,理论学刊,2012,10,32-35,中国共产党人;中国法西斯主义;批判,北京师范大学历史学院;
孙晓晖;,当代社会思潮变动与我国意识形态安全问题的研究进路与思考,湖南师范大学社会科学学报,2012,6,77-82,当代社会思潮;意识形态安全;研究进路,广东商学院政治与教育学院;
闫霞;,文学史意识与盛唐经典观:论高棅的《唐诗品汇》,文艺评论,2012,10,28-32,唐诗品;高棅;学史;唐代诗歌;诗学范畴;明代诗;宗唐;选诗;诗歌理论;五言;,武汉纺织大学传媒学院;
霍晓玲;,正确认识当代中国文化保守主义思潮,探索,2012,5,109-114,文化保守主义;“儒化”;大陆新儒家;当代;中国,河南大学近代中国研究所;
邱玥;,嵇康艺术论的人文哲学美学意境,求索,2012,9,154-156,嵇康;艺术论;人文哲学;美学艺境;《琴赋》,长安大学文学传播与艺术学院;
沈江平;,历史唯物主义视野中的核心价值考量,马克思主义研究,2012,10,102-108+160,核心价值;社会基本制度;社会主义核心价值;普世价值,中国人民大学马克思主义学院;
王祖友;陈后亮;,后人道主义的反思与批判,当代外国文学,2012,4,16-23,人道主义;后现代主义;后人道主义,河南理工大学外国语学院;山东财经大学外国语学院;
,欢迎订阅2013年度红旗文稿,红旗文稿,2012,22,6,红旗文稿;理论战线;中共中央机关;求是杂志社;理论热点;政治理论;《求是》杂志;宣传事业;国外代号;国内统一刊号;,
唐勇;,浅议中国特色社会主义的内涵与特征,理论视野,2012,10,70-71,中国特色社会主义;内涵;特征,中国南方航空集团公司;
李英;,提升社会主义核心价值体系引领力的路径探析,科学社会主义,2012,5,51-54,社会主义核心价值体系;引领力,中共辽宁省委党校政治学教研部;
董文明;,我国民主社会主义思潮研究述评,山西财经大学学报,2012,S3,279,民主社会主义;起源与嬗变;社会思潮,商丘医学高等专科学校社会科学部;
张建云;,读《侯惠勤自选集》,高校理论战线,2012,9,68-69,自选集;意识形态建设;学习出版社;方法论研究;马克思思想;费尔;信仰危机;信仰问题;价值观问题;理论品质;,中国社会科学院马克思主义研究院;
马绍孟;,学习马克思主义经典著作 坚持马克思主义指导地位,思想理论教育导刊,2012,11,17-20,马克思主义;经典著作;学习,中国人民大学;
蔡万焕;刘震;,关于国有企业讨论的最新进展及背景原因分析,学习与探索,2012,11,87-91,国有企业;公有制;私有化;“国企低效论”;“国企与民争利论”,清华大学马克思主义学院;
龚维忠;黄林;,民国科技史视野下《科学画报》传播特征的现实意义,湖南师范大学社会科学学报,2012,6,132-139,民国时期;科技史;科学社团;《科学画报》;传播,湖南师范大学新闻与传播学院;湖南师范大学出版社;
李东坡;,社会主义核心价值体系:大学生信仰教育的时代主题,思想教育研究,2012,10,102-106,社会主义核心价值体系;大学生;信仰教育,兰州大学马克思主义学院;
郑元凯;,新自由主义思潮对大学生社会心态的影响,山西财经大学学报,2012,S4,128,新自由主义;大学生;思想政治教育,福建师范大学经济学院;
李光胜;,高职学生思想政治工作问题与对策,山西财经大学学报,2012,S4,82,高职学生;思想政治工作;方法研究,泸州职业技术学院;
胡乃永;,文化多样性语境下的思想政治教育工作初探,东岳论丛,2012,9,144-146,多样性;思想政治教育;青年学生;健康成长,曲阜师范大学化学与化工学院;
周飞;孙群;,加强高校意识形态教育的思考,高校理论战线,2012,9,62-64,高校;意识形态;意识形态教育,安徽大学党委宣传部;安徽大学管理学院;
胡剑;,中国特色社会主义文化发展道路的拓展与创新,重庆社会科学,2012,11,11月16日,社会主义核心价值体系;中国特色社会主义;文化强国;文化软实力,西南交通大学政治学院;
,欢迎订阅《红旗文稿》,求是,2012,24,65,红旗文稿;理论战线;中共中央机关;《求是》杂志;理论热点;政治理论;求是杂志社;宣传事业;,
宋进;仇永民;,论用马克思主义引领当代社会思潮的批判机制,青海社会科学,2012,6,25-29,马克思主义;当代社会思潮;理论批判;实践批判;自我批判,华东师范大学社会科学部;上海海洋大学党委组织部;
白莉;,哈萨克斯坦宗教管理法及其对我国的启示,新疆社会科学,2012,5,82-87+151,哈萨克斯坦;宗教管理法;宗教极端势力;民族主义;社会思潮,新疆社会科学院法学研究所;
井世洁;,被害人社会工作:国外镜像及对我国的启示,学术交流,2012,11,57-62,被害人社会工作;人权保护;被害人服务方案,华东政法大学社会发展学院;
朱琳;,马克思主义中国化与20世纪上半叶三大社会思潮研究综述,湖北社会科学,2012,12,8月11日,马克思主义中国化;三大社会思潮;综述,吉林财经大学马克思主义学院;
,红旗文稿 抓住事物的根本 阐扬彻底的理论,红旗文稿,2012,21,1,红旗文稿;理论战线;中共中央机关;宣传事业;求是杂志社;理论热点;政治理论;中国特色;《求是》杂志;杜会主义;,
,欢迎订阅2013年度红旗文稿,红旗文稿,2012,21,37,红旗文稿;理论战线;中共中央机关;求是杂志社;理论热点;政治理论;宣传事业;《求是》杂志;国外代号;国内统一刊号;,
方付建;,网络空间社会思潮传播策略研究,电子政务,2012,12,76-79,社会思潮;网络空间;互联网;公共管理;电子治理,中南民族大学公共管理学院;
杜海坤;傅安洲;张地珂;,美国公民教育变革对公民文化变迁的作用研究——基于历史发展的视角,湖北社会科学,2012,12,180-183,公民文化;公民教育;公民实践;公民参与,中国地质大学;
刘文玉;,西方社会思潮在大学生中的传播及影响研究,兰州学刊,2012,11,219-221,西方社会思潮;大学生;价值观,兰州商学院马克思主义学院;
曲霞;,清末直省商政机构的确立与运作,学术研究,2012,11,113-121+160,直省;商政机构;重商主义;商务局,中山大学历史系;
钱义长;,在科学创新中加强国有企业思想政治工作,求实,2012,S2,164-165,思想政治工作;员工群众;社会主义国家;党建思想政治;现代企业制度;意识流动;员工思想;形势任务教育;中心任务;改革时期;,安徽石油勘探开发公司;
袁琳;,论马克思社会建设理论的形成路径及其启示,求索,2012,11,142-144,批判与构建;社会建设理论;马克思主义哲学,华中师范大学政治学研究院;湖北民族学院马克思主义学院;
郭学旺;贾绘泽;,我国农村社会主义核心价值体系宣传机制创新的思考,山东社会科学,2012,11,15-19,社会主义核心价值体系;新农村建设;宣传机制;创新,山西师范大学政法学院;
吴东华;,理论与方法:社会主义核心价值体系大众化的探索,马克思主义研究,2012,11,26-32+159,社会主义核心价值体系;大众化;理论方法,中国地质大学(武汉)马克思主义学院;
孙晓晖;,改革开放以来我国社会思潮的境遇、演变与走向,江西社会科学,2012,11,204-209,改革开放;社会思潮;发展演变;趋势走向,广东商学院政治与教育学院;
李亚员;,关注和研究社会思潮影响大学生的内在机理,中国高等教育,2012,20,37-39,思潮影响;时代命题;社会主义文化;价值冲突;文化体制改革;影响过程;后现代主义思潮;主体互动;势位;交往需要;,东北师范大学;
陆晔;,媒介使用、媒介评价、社会交往与中国社会思潮的三种意见趋势,新闻大学,2012,6,63-72,社会思潮;媒介使用;媒介评价;社会交往,复旦大学信息与传播研究中心;
巩曰国;,《管子》对《淮南子》的影响,管子学刊,2012,4,19-23,《管子》;《淮南子》;文本;思想;影响,山东理工大学齐文化研究院;
许章润;,思潮好比情人——对于马立诚《当代中国八种社会思潮》的五点评论,开放时代,2012,9,141-150,中国问题;自由主义;民族主义;新左派,清华大学法学院;
李亚员;,大学生思潮的形成过程及其内在机理探析,国家教育行政学院学报,2012,12,43-47,大学生思潮;形成过程;形成机理,东北师范大学思想政治教育研究中心;
李海青;,面向中国问题的中观性社会理论——当代马克思主义哲学中国化的应然形态,哲学动态,2013,3,14-16,社会进步;人的发展;国外马克思主义;实践指向;遗产清单;佩鲁;纯粹思维;西方思潮;哲学探索;西方哲学研究;,中共中央党校马克思主义理论教研部;
田智;,引领“社会主义核心价值体系建设研究”的研究,道德与文明,2013,5,160,价值取向;湖南城市学院;长江学者;多元文化时代;引导作用;双重要求;社会核心价值;辩证统一关系;有效引领;意识形态功能;,中南大学公共管理学院;
李翔;杨义芹;,和谐社会心态与幸福生活探析,齐鲁学刊,2013,6,72-76,和谐社会心态;幸福生活;利益诉求;社会主义核心价值体系,河北科技大学外国语学院;天津社会科学院伦理学研究所;
周国栋;荀羽琨;,底层电影的精神演进,社会科学家,2013,10,134-137,启蒙精神;民间立场;娱乐精神;意识形态,西北大学文学院;宝鸡文理学院中文系;
董斌孜孜;,法国汉学界巴金研究历史语境变迁,贵州社会科学,2013,11,127-131,巴金;法国汉学;译介;历史语境;文化语境,四川大学;电子科技大学;
胡娟;,从社会思潮引导者的转换看社会文明的进步——兼论哲学对构建社会主义和谐社会的意义,社会科学家,2013,11,22-24,社会思潮;引导者;哲学家,中共南阳市委党校;
殷琴;,后现代主义视野中的中国声乐艺术探微,学术探索,2013,12,127-129,后现代;多元音乐文化观;声乐艺术,厦门大学艺术学院;
仇王军;,因时而变:回族知识分子与墨家思想,北方民族大学学报,2013,6,27-32,伊斯兰教;回族知识分子与墨家;《月华》,宁夏社会科学院历史研究所;中央民族大学哲学与宗教学学院;
章敏;,民国女性婚姻权与中国现代文学书写,东南学术,2013,6,221-228,民国时期;女性;婚姻权;现代文学,湖南省社会科学界联合会;《船山学刊》;
李德全;杨全海;,坚持以社会主义核心价值体系凝聚社会共识,思想理论教育导刊,2013,11,60-62,社会主义核心价值体系;社会共识;民族复兴,重庆文理学院马克思主义学院;
肖泳冰;龙雅芳;,以“中国梦”引领高校意识形态博弈的主动权,毛泽东思想研究,2013,6,135-138,中国梦;高校;意识形态;博弈;主动权,西华大学人南校区;
李晓峰;朱新华;,马克思主义早期传播对中国政治思想的影响,理论与改革,2013,6,23-25,马克思主义;人的解放;民本主义;现代中国政治思想,成都广播电视大学;四川省人大常委会;
王孝勇;郭智勇;,政治共识视域下的中国特色政党制度发展探析,河海大学学报(哲学社会科学版),2013,4,25-28+44+90,政治共识;中国特色政党制度;发展,南京工程学院人文与社会科学学院;
李方祥;,维护毛泽东的历史地位是抵制历史虚无主义思潮的关键,思想理论教育导刊,2013,12,72-77,毛泽东;历史地位;历史决议;历史虚无主义,福建师范大学马克思主义学院;
刘小英;,马克思主义“中国化”的早期历程,社会科学战线,2013,12,27-33,马克思主义;中国化;新启蒙运动,武汉大学马克思主义学院;
陈文胜;,论微政时代党的意识形态建设,求实,2013,11,18-21,微博;微政时代;意识形态;意识形态建设;中国共产党,西南科技大学政治学院;
刘世华;,民主共识缺失的原因及对策论析,社会科学战线,2013,12,1月5日,民主共识;西方民主;社会分层;中国式民主,东北师范大学马克思主义学部;
陆小兵;,教育思潮的演进及其困境初探——基于三种教育观的比较研究,高教发展与评估,2013,6,23-29+101,教育思潮;传统教育观;现代教育观;后现代教育观,南京大学大学外语部;
,《问道——改革开放以来的社会思潮与青年思想政治教育研究》出版座谈会述要,思想教育研究,2013,11,102-103,出版座谈会;德育研究;思想政治教育;中国道路;社会主义思潮;政治理论课;思潮影响;工作研究;国家前途;中国人民大学;,
王智勇;李洋;,现代设计史研究的社会学转向,求索,2013,12,230-232,现代设计史;历史社会学;社会学转向;观念传承,西南交通大学;重庆工商大学设计艺术学院;
赵丽舒;杜东卉;,多元文化背景下高校社会主义核心价值体系教育初探——以云南大学为例,思想战线,2013,S2,287-292,多元文化;社会主义核心价值体系;教育;对策,云南大学文化产业研究院;云南艺术学院思想政治部;
朱孔京;,容闳和沈葆桢留学教育思想的比较,中国社会科学院研究生院学报,2013,5,116-121,洋务运动;留学教育思想;容闳;沈葆桢,中国社会科学院研究生院;
杨子飞;,哪个上帝? 真的死了?——论施特劳斯对现代哲学之教条主义倾向的批判,哲学研究,2013,2,75-79,现代哲学;宗教批判;现代启蒙;劳斯;权力意志;教条式;Strauss;沃格林;斯宾诺莎;内在化;,杭州电子科技大学;
杨生平;,试论后现代主义价值取向——从马克思主义哲学角度的探索,哲学动态,2013,5,21-27,价值取向;当代西方社会;罗斯诺;矛盾心理;延异;波林;人类解放;现代性;边缘地位;道德人格;,首都师范大学哲学系;
刘晓哲;,马克思主义“文艺育德”思想及其意义,马克思主义研究,2013,10,114-119+152,马克思主义理论;马克思主义中国化;文艺育德,山西大学马克思主义学院;
